,연월,수입중량
1,2013-01,616840.0
2,2013-02,278460.0
3,2013-03,234520.0
4,2013-04,31150.0
5,2013-05,24000.0
6,2013-06,0.0
7,2013-07,0.0
8,2013-08,0.0
9,2013-09,171305.0
10,2013-10,24000.0
11,2013-11,0.0
12,2013-12,22000.0
14,2014-01,44000.0
15,2014-02,0.0
16,2014-03,0.0
17,2014-04,24000.0
18,2014-05,0.0
19,2014-06,24000.0
20,2014-07,0.0
21,2014-08,0.0
22,2014-09,24000.0
23,2014-10,24000.0
24,2014-11,0.0
25,2014-12,48360.0
27,2015-01,0.0
28,2015-02,17000.0
29,2015-03,7000.0
30,2015-04,24000.0
31,2015-05,0.0
32,2015-06,253004.0
33,2015-07,16170.0
34,2015-08,0.0
35,2015-09,0.0
36,2015-10,0.0
37,2015-11,0.0
38,2015-12,0.0
40,2016-01,16200.0
41,2016-02,1.0
42,2016-03,0.0
43,2016-04,0.0
44,2016-05,57750.0
45,2016-06,0.0
46,2016-07,0.0
47,2016-08,0.0
48,2016-09,224520.0
49,2016-10,0.0
50,2016-11,50775.0
51,2016-12,31500.0
53,2017-01,120.0
54,2017-02,0.0
55,2017-03,23000.0
56,2017-04,15967.0
57,2017-05,0.0
58,2017-06,0.0
59,2017-07,14685.0
60,2017-08,109825.0
61,2017-09,86915.0
62,2017-10,37260.0
63,2017-11,0.0
64,2017-12,0.0
66,2018-01,0.0
67,2018-02,18326.0
68,2018-03,0.0
69,2018-04,48523.0
70,2018-05,16170.0
71,2018-06,0.0
72,2018-07,0.0
73,2018-08,0.0
74,2018-09,0.0
75,2018-10,0.0
76,2018-11,0.0
77,2018-12,0.0
79,2019-01,24000.0
80,2019-02,15000.0
81,2019-03,0.0
82,2019-04,1.7
83,2019-05,0.0
84,2019-06,0.0
85,2019-07,0.0
86,2019-08,0.0
87,2019-09,0.0
88,2019-10,276116.0
89,2019-11,135275.0
90,2019-12,0.0
92,2020-01,0.0
93,2020-02,0.0
94,2020-03,5.2
95,2020-04,24.0
96,2020-05,0.0
97,2020-06,0.0
98,2020-07,0.0
99,2020-08,500.0
100,2020-09,231980.0
101,2020-10,303057.7
102,2020-11,1610.0
103,2020-12,105600.0
105,2021-01,0.0
106,2021-02,15750.0
107,2021-03,7350.0
108,2021-04,12978.0
109,2021-05,0.0
110,2021-06,7350.0
111,2021-07,6028.0
112,2021-08,0.0
113,2021-09,1080.0
114,2021-10,0.0
115,2021-11,0.0
116,2021-12,16170.0
