,날짜,지역,일반유가
0,2013-01-01,서울,1843.74
0,2013-01-01,부산,1754.82
0,2013-01-01,대구,1738.06
0,2013-01-01,인천,1745.54
0,2013-01-01,광주,1728.65
0,2013-01-01,대전,1752.4
0,2013-01-01,울산,1749.79
0,2013-01-01,경기,1755.94
0,2013-01-01,강원,1762.79
0,2013-01-01,충북,1751.19
0,2013-01-01,충남,1763.88
0,2013-01-01,전북,1745.21
0,2013-01-01,전남,1742.89
0,2013-01-01,경북,1743.22
0,2013-01-01,경남,1743.4
0,2013-01-01,제주,1755.72
0,2013-01-01,세종,1755.01
0,2013-01-02,서울,1843.12
0,2013-01-02,부산,1754.63
0,2013-01-02,대구,1737.17
0,2013-01-02,인천,1746.13
0,2013-01-02,광주,1727.92
0,2013-01-02,대전,1752.68
0,2013-01-02,울산,1749.1
0,2013-01-02,경기,1755.49
0,2013-01-02,강원,1762.3
0,2013-01-02,충북,1750.57
0,2013-01-02,충남,1763.05
0,2013-01-02,전북,1744.6
0,2013-01-02,전남,1742.85
0,2013-01-02,경북,1743.28
0,2013-01-02,경남,1743.36
0,2013-01-02,제주,1755.88
0,2013-01-02,세종,1755.01
0,2013-01-03,서울,1842.37
0,2013-01-03,부산,1754.92
0,2013-01-03,대구,1736.47
0,2013-01-03,인천,1746.27
0,2013-01-03,광주,1727.02
0,2013-01-03,대전,1752.2
0,2013-01-03,울산,1747.8
0,2013-01-03,경기,1755.32
0,2013-01-03,강원,1761.86
0,2013-01-03,충북,1750.93
0,2013-01-03,충남,1762.56
0,2013-01-03,전북,1744.18
0,2013-01-03,전남,1741.97
0,2013-01-03,경북,1742.71
0,2013-01-03,경남,1742.54
0,2013-01-03,제주,1755.46
0,2013-01-03,세종,1755.76
0,2013-01-04,서울,1841.72
0,2013-01-04,부산,1754.18
0,2013-01-04,대구,1736.93
0,2013-01-04,인천,1746.25
0,2013-01-04,광주,1726.85
0,2013-01-04,대전,1750.82
0,2013-01-04,울산,1746.92
0,2013-01-04,경기,1755.01
0,2013-01-04,강원,1761.39
0,2013-01-04,충북,1750.48
0,2013-01-04,충남,1762.05
0,2013-01-04,전북,1744.25
0,2013-01-04,전남,1741.97
0,2013-01-04,경북,1742.35
0,2013-01-04,경남,1742.23
0,2013-01-04,제주,1771.07
0,2013-01-04,세종,1754.58
0,2013-01-05,서울,1842.6
0,2013-01-05,부산,1752.72
0,2013-01-05,대구,1736.55
0,2013-01-05,인천,1747.59
0,2013-01-05,광주,1726.65
0,2013-01-05,대전,1750.03
0,2013-01-05,울산,1746.63
0,2013-01-05,경기,1754.59
0,2013-01-05,강원,1761.1
0,2013-01-05,충북,1750.22
0,2013-01-05,충남,1761.49
0,2013-01-05,전북,1743.3
0,2013-01-05,전남,1741.93
0,2013-01-05,경북,1742.3
0,2013-01-05,경남,1742.07
0,2013-01-05,제주,1771.08
0,2013-01-05,세종,1753.87
0,2013-01-06,서울,1842.13
0,2013-01-06,부산,1751.99
0,2013-01-06,대구,1736.41
0,2013-01-06,인천,1747.3
0,2013-01-06,광주,1726.32
0,2013-01-06,대전,1749.7
0,2013-01-06,울산,1745.42
0,2013-01-06,경기,1754.21
0,2013-01-06,강원,1760.49
0,2013-01-06,충북,1749.75
0,2013-01-06,충남,1760.97
0,2013-01-06,전북,1742.43
0,2013-01-06,전남,1741.42
0,2013-01-06,경북,1741.65
0,2013-01-06,경남,1741.53
0,2013-01-06,제주,1771.22
0,2013-01-06,세종,1752.66
0,2013-01-07,서울,1840.77
