,날짜,도매가격품명,지명,시도명,관측지점명,면적,생산량,SPI1,SPI3,EDI,일반유가,면세유가,수입중량(30일전),도매가격날짜,도매가격
0,2013-01-01,겨울,해남군,전남,해남군,2842,348375,1.96,0.97,2.11,1742.89,1131.7569690876594,278460.0,2013-03-02,12000.0
1,2013-01-02,겨울,해남군,전남,해남군,2842,348375,1.97,0.97,2.02,1742.85,1131.7206054512956,278460.0,2013-03-03,12000.0
2,2013-01-03,겨울,해남군,전남,해남군,2842,348375,1.85,0.97,1.93,1741.97,1130.9206054512956,278460.0,2013-03-04,12000.0
3,2013-01-04,겨울,해남군,전남,해남군,2842,348375,1.83,1.04,1.9,1741.97,1130.9206054512956,278460.0,2013-03-05,12000.0
4,2013-01-05,겨울,해남군,전남,해남군,2842,348375,1.73,1.07,1.85,1741.93,1130.884241814932,278460.0,2013-03-06,13000.0
5,2013-01-06,겨울,해남군,전남,해남군,2842,348375,1.8,1.07,1.83,1741.42,1130.4206054512958,278460.0,2013-03-07,13000.0
6,2013-01-07,겨울,해남군,전남,해남군,2842,348375,1.67,1.15,1.83,1740.97,1130.0115145422048,278460.0,2013-03-08,13000.0
7,2013-01-08,겨울,해남군,전남,해남군,2842,348375,1.6,1.16,1.85,1740.44,1129.5296963603869,278460.0,2013-03-09,13000.0
8,2013-01-09,겨울,해남군,전남,해남군,2842,348375,1.59,1.18,1.83,1740.22,1129.3296963603866,278460.0,2013-03-10,13000.0
9,2013-01-10,겨울,해남군,전남,해남군,2842,348375,1.65,1.29,1.8,1739.67,1128.8296963603866,278460.0,2013-03-11,13000.0
10,2013-01-11,겨울,해남군,전남,해남군,2842,348375,1.63,1.31,1.8,1739.71,1128.8660599967502,278460.0,2013-03-12,13000.0
11,2013-01-12,겨울,해남군,전남,해남군,2842,348375,1.6,1.32,1.77,1739.38,1128.5660599967505,278460.0,2013-03-13,13000.0
12,2013-01-13,겨울,해남군,전남,해남군,2842,348375,1.58,1.33,1.72,1739.14,1128.3478781785684,278460.0,2013-03-14,13000.0
13,2013-01-14,겨울,해남군,전남,해남군,2842,348375,0.86,1.33,1.72,1739.11,1128.3206054512957,278460.0,2013-03-15,13000.0
14,2013-01-15,겨울,해남군,전남,해남군,2842,348375,0.78,1.34,1.75,1738.61,1127.8660599967502,278460.0,2013-03-16,13000.0
15,2013-01-16,겨울,해남군,전남,해남군,2842,348375,0.76,1.32,1.78,1738.28,1127.5660599967505,278460.0,2013-03-17,13000.0
16,2013-01-17,겨울,해남군,전남,해남군,2842,348375,0.79,1.29,1.68,1738.13,1127.4296963603867,278460.0,2013-03-18,13000.0
17,2013-01-18,겨울,해남군,전남,해남군,2842,348375,0.73,1.27,1.64,1738.05,1127.3569690876593,278460.0,2013-03-19,12000.0
18,2013-01-19,겨울,해남군,전남,해남군,2842,348375,0.74,1.27,1.65,1737.53,1126.884241814932,278460.0,2013-03-20,12000.0
19,2013-01-20,겨울,해남군,전남,해남군,2842,348375,0.74,1.3,1.65,1737.22,1126.602423633114,278460.0,2013-03-21,12000.0
20,2013-01-21,겨울,해남군,전남,해남군,2842,348375,0.33,1.07,1.61,1737.13,1126.5206054512958,278460.0,2013-03-22,12000.0
21,2013-01-22,겨울,해남군,전남,해남군,2842,348375,0.94,1.23,1.93,1736.98,1126.384241814932,278460.0,2013-03-23,12000.0
22,2013-01-23,겨울,해남군,전남,해남군,2842,348375,0.82,1.25,1.82,1736.06,1125.5478781785685,278460.0,2013-03-24,12000.0
23,2013-01-24,겨울,해남군,전남,해남군,2842,348375,0.78,1.27,1.68,1736.01,1125.502423633114,278460.0,2013-03-25,12000.0
24,2013-01-25,겨울,해남군,전남,해남군,2842,348375,0.76,1.25,1.66,1735.46,1125.002423633114,278460.0,2013-03-26,12000.0
25,2013-01-26,겨울,해남군,전남,해남군,2842,348375,0.79,0.76,1.67,1735.38,1124.9296963603867,278460.0,2013-03-27,12000.0
26,2013-01-27,겨울,해남군,전남,해남군,2842,348375,0.79,0.75,1.63,1734.96,1124.5478781785685,278460.0,2013-03-28,12000.0
27,2013-01-28,겨울,해남군,전남,해남군,2842,348375,0.21,0.78,1.61,1735.34,1124.893332724023,278460.0,2013-03-29,12000.0
28,2013-01-29,겨울,해남군,전남,해남군,2842,348375,-0.14,0.76,1.6,1735.21,1124.7751509058412,278460.0,2013-03-30,12000.0
29,2013-01-30,겨울,해남군,전남,해남군,2842,348375,-0.52,0.76,1.62,1734.46,1124.093332724023,278460.0,2013-03-31,12000.0
30,2013-01-31,겨울,해남군,전남,해남군,2842,348375,-0.71,0.77,1.62,1734.29,1123.9387872694774,234520.0,2013-04-01,12000.0
31,2013-02-01,겨울,해남군,전남,해남군,2842,348375,-0.58,0.8,1.69,1734.09,1123.7569690876594,234520.0,2013-04-02,12000.0
32,2013-02-02,겨울,해남군,전남,해남군,2842,348375,0.63,1.13,2.37,1734.6,1124.2206054512956,234520.0,2013-04-03,12000.0
33,2013-02-03,겨울,해남군,전남,해남군,2842,348375,0.61,1.03,2.24,1734.12,1123.784241814932,234520.0,2013-04-04,12000.0
34,2013-02-04,겨울,해남군,전남,해남군,2842,348375,0.81,1.2,2.33,1734.07,1123.7387872694776,234520.0,2013-04-05,12000.0
35,2013-02-05,겨울,해남군,전남,해남군,2842,348375,0.91,1.19,2.33,1734.39,1124.0296963603869,234520.0,2013-04-06,12000.0
36,2013-02-06,겨울,해남군,전남,해남군,2842,348375,1.16,1.29,2.47,1734.42,1124.0569690876594,234520.0,2013-04-07,12000.0
37,2013-02-07,겨울,해남군,전남,해남군,2842,348375,1.43,1.31,2.49,1735.47,1125.0115145422048,234520.0,2013-04-08,12000.0
38,2013-02-08,겨울,해남군,전남,해남군,2842,348375,1.47,1.34,2.44,1737.11,1126.5024236331135,234520.0,2013-04-09,12000.0
39,2013-02-09,겨울,해남군,전남,해남군,2842,348375,1.34,1.23,2.28,1738.95,1128.1751509058413,234520.0,2013-04-10,12000.0
40,2013-02-10,겨울,해남군,전남,해남군,2842,348375,1.28,1.22,2.27,1739.49,1128.6660599967504,234520.0,2013-04-11,12000.0
41,2013-02-11,겨울,해남군,전남,해남군,2842,348375,1.2,1.24,2.15,1739.9,1129.0387872694776,234520.0,2013-04-12,12000.0
42,2013-02-12,겨울,해남군,전남,해남군,2842,348375,1.07,1.18,1.99,1740.02,1129.1478781785684,234520.0,2013-04-13,12000.0
43,2013-02-13,겨울,해남군,전남,해남군,2842,348375,1.06,1.14,1.99,1741.62,1130.602423633114,234520.0,2013-04-14,12000.0
44,2013-02-14,겨울,해남군,전남,해남군,2842,348375,1.03,1.11,1.98,1744.81,1133.5024236331135,234520.0,2013-04-15,11000.0
45,2013-02-15,겨울,해남군,전남,해남군,2842,348375,0.96,1.0,1.95,1747.03,1135.5206054512958,234520.0,2013-04-16,11000.0
46,2013-02-16,겨울,해남군,전남,해남군,2842,348375,0.89,0.84,1.91,1750.71,1138.8660599967502,234520.0,2013-04-17,11000.0
47,2013-02-17,겨울,해남군,전남,해남군,2842,348375,0.84,0.9,1.84,1751.71,1139.7751509058412,234520.0,2013-04-18,11000.0
48,2013-02-18,봄,예산군,충남,서산시,120,383696,2.35,1.6,3.03,1771.4,1169.2337261353482,234520.0,2013-04-19,9000.0
49,2013-02-19,봄,예산군,충남,서산시,120,383696,2.28,1.58,2.99,1774.15,1171.7337261353482,234520.0,2013-04-20,9000.0
50,2013-02-20,봄,예산군,충남,서산시,120,383696,2.33,1.58,2.96,1777.06,1174.3791806808026,234520.0,2013-04-21,9000.0
51,2013-02-21,봄,예산군,충남,서산시,120,383696,1.76,1.59,2.87,1780.1,1177.142817044439,234520.0,2013-04-22,9000.0
52,2013-02-22,봄,예산군,충남,서산시,120,383696,1.73,1.58,2.8,1783.13,1179.8973624989844,234520.0,2013-04-23,9000.0
53,2013-02-23,봄,예산군,충남,서산시,120,383696,1.63,1.6,2.67,1785.44,1181.9973624989846,234520.0,2013-04-24,9000.0
54,2013-02-24,봄,예산군,충남,서산시,120,383696,1.51,1.58,2.63,1787.15,1183.55190795353,234520.0,2013-04-25,9000.0
55,2013-02-25,봄,예산군,충남,서산시,120,383696,1.51,1.58,2.65,1788.36,1184.65190795353,234520.0,2013-04-26,9000.0
56,2013-02-26,봄,예산군,충남,서산시,120,383696,1.47,1.57,2.81,1789.9,1186.05190795353,234520.0,2013-04-27,9000.0
57,2013-02-27,봄,예산군,충남,서산시,120,383696,1.49,1.62,2.81,1790.67,1186.75190795353,234520.0,2013-04-28,9000.0
58,2013-02-28,봄,예산군,충남,서산시,120,383696,1.39,1.8,2.65,1791.21,1187.242817044439,234520.0,2013-04-29,9000.0
59,2013-03-01,봄,예산군,충남,서산시,120,383696,1.37,1.74,2.76,1792.24,1188.1791806808026,234520.0,2013-04-30,8000.0
60,2013-03-02,봄,예산군,충남,서산시,120,383696,1.54,1.82,3.05,1793.53,1189.35190795353,31150.0,2013-05-01,8000.0
61,2013-03-03,봄,예산군,충남,서산시,120,383696,1.49,1.83,3.03,1794.0,1189.7791806808027,31150.0,2013-05-02,8000.0
62,2013-03-04,봄,예산군,충남,서산시,120,383696,0.1,1.57,2.83,1794.45,1190.1882715898937,31150.0,2013-05-03,8000.0
63,2013-03-05,봄,예산군,충남,서산시,120,383696,0.02,1.63,2.89,1795.03,1190.7155443171662,31150.0,2013-05-04,8000.0
64,2013-03-06,봄,예산군,충남,서산시,120,383696,-0.24,1.43,3.04,1796.04,1191.633726135348,31150.0,2013-05-05,8000.0
65,2013-03-07,봄,예산군,충남,서산시,120,383696,-0.51,1.42,3.18,1796.18,1191.760998862621,31150.0,2013-05-06,8000.0
66,2013-03-08,봄,예산군,충남,서산시,120,383696,-0.82,1.42,3.0,1796.08,1191.6700897717117,31150.0,2013-05-07,8000.0
67,2013-03-09,봄,예산군,충남,서산시,120,383696,-0.9,1.39,2.63,1796.18,1191.760998862621,31150.0,2013-05-08,8000.0
68,2013-03-10,봄,예산군,충남,서산시,120,383696,-1.0,1.3,2.62,1796.26,1191.833726135348,31150.0,2013-05-09,7000.0
69,2013-03-11,봄,예산군,충남,서산시,120,383696,-0.99,1.34,2.5,1796.35,1191.9155443171662,31150.0,2013-05-10,7000.0
70,2013-03-12,봄,예산군,충남,서산시,120,383696,-1.03,1.32,2.38,1796.05,1191.642817044439,31150.0,2013-05-11,7000.0
