,날짜,시장,품명,거래량
0,2013-01-02,광주,가을,19514
1,2013-01-02,대전,가을,20390
2,2013-01-02,광주,겨울,24668
3,2013-01-02,부산,겨울,8000
4,2013-01-03,광주,가을,14006
5,2013-01-03,대구,가을,12040
6,2013-01-03,대전,가을,25610
7,2013-01-03,광주,겨울,7190
8,2013-01-03,부산,겨울,310000
9,2013-01-03,서울,겨울,507700
10,2013-01-03,광주,봄,40
11,2013-01-04,광주,가을,13524
12,2013-01-04,대구,가을,18560
13,2013-01-04,대전,가을,22200
14,2013-01-04,광주,겨울,14150
15,2013-01-04,대구,겨울,472
16,2013-01-04,부산,겨울,109000
17,2013-01-04,서울,겨울,27350
18,2013-01-04,광주,봄,20
19,2013-01-05,광주,가을,9778
20,2013-01-05,대전,가을,18440
21,2013-01-05,부산,겨울,100000
22,2013-01-05,서울,겨울,349190
23,2013-01-05,광주,봄,40
24,2013-01-07,광주,가을,12832
25,2013-01-07,대구,가을,8800
26,2013-01-07,대전,가을,24840
27,2013-01-07,광주,겨울,4380
28,2013-01-07,대전,겨울,5140
29,2013-01-07,부산,겨울,246000
30,2013-01-07,서울,겨울,19540
31,2013-01-07,광주,봄,80
32,2013-01-07,광주,여름,170
33,2013-01-08,광주,가을,17484
34,2013-01-08,대구,가을,10800
35,2013-01-08,대전,가을,30780
36,2013-01-08,대전,겨울,17596
37,2013-01-08,부산,겨울,127000
38,2013-01-08,서울,겨울,28750
39,2013-01-08,광주,봄,40
40,2013-01-09,광주,가을,23380
41,2013-01-09,대구,가을,4000
42,2013-01-09,대전,가을,42800
43,2013-01-09,부산,가을,71000
44,2013-01-09,광주,겨울,23770
45,2013-01-09,대전,겨울,13100
46,2013-01-09,부산,겨울,91000
47,2013-01-09,서울,겨울,28230
48,2013-01-09,광주,봄,100
49,2013-01-10,광주,가을,8914
50,2013-01-10,대구,가을,4000
51,2013-01-10,대전,가을,13710
52,2013-01-10,광주,겨울,9490
53,2013-01-10,대전,겨울,15662
54,2013-01-10,부산,겨울,136000
55,2013-01-10,서울,겨울,386680
56,2013-01-10,광주,봄,80
57,2013-01-11,광주,가을,21944
58,2013-01-11,대구,가을,11200
59,2013-01-11,대전,가을,25340
60,2013-01-11,부산,가을,16000
61,2013-01-11,광주,겨울,5410
62,2013-01-11,대전,겨울,5420
63,2013-01-11,부산,겨울,202000
64,2013-01-11,서울,겨울,349885
65,2013-01-11,광주,봄,60
66,2013-01-12,광주,가을,13310
67,2013-01-12,대구,가을,10720
68,2013-01-12,대전,가을,20050
69,2013-01-12,광주,겨울,1610
70,2013-01-12,대구,겨울,3568
71,2013-01-12,대전,겨울,5978
72,2013-01-12,부산,겨울,10000
