,날짜,지역,품명,가격
0,2013-01-02,서울,겨울,13000.0
1,2013-01-02,부산,겨울,12000.0
2,2013-01-02,대구,겨울,12000.0
3,2013-01-02,광주,겨울,12000.0
4,2013-01-02,대전,겨울,13000.0
5,2013-01-03,서울,겨울,12000.0
6,2013-01-03,부산,겨울,12000.0
7,2013-01-03,대구,겨울,13000.0
8,2013-01-03,광주,겨울,13000.0
9,2013-01-03,대전,겨울,15000.0
10,2013-01-04,서울,겨울,12000.0
11,2013-01-04,부산,겨울,12000.0
12,2013-01-04,대구,겨울,12000.0
13,2013-01-04,광주,겨울,13000.0
14,2013-01-04,대전,겨울,13000.0
15,2013-01-07,서울,겨울,13000.0
16,2013-01-07,부산,겨울,12000.0
17,2013-01-07,대구,겨울,12000.0
18,2013-01-07,광주,겨울,12000.0
19,2013-01-07,대전,겨울,13000.0
20,2013-01-08,서울,겨울,13000.0
21,2013-01-08,부산,겨울,12000.0
22,2013-01-08,대구,겨울,12000.0
23,2013-01-08,광주,겨울,12000.0
24,2013-01-08,대전,겨울,15000.0
25,2013-01-09,서울,겨울,13000.0
26,2013-01-09,부산,겨울,12000.0
27,2013-01-09,대구,겨울,12000.0
28,2013-01-09,광주,겨울,12000.0
29,2013-01-09,대전,겨울,15000.0
30,2013-01-10,서울,겨울,13000.0
31,2013-01-10,부산,겨울,12000.0
32,2013-01-10,대구,겨울,12000.0
33,2013-01-10,광주,겨울,12000.0
34,2013-01-10,대전,겨울,15000.0
35,2013-01-11,서울,겨울,13000.0
36,2013-01-11,부산,겨울,12000.0
37,2013-01-11,대구,겨울,12000.0
38,2013-01-11,광주,겨울,12000.0
39,2013-01-11,대전,겨울,15000.0
40,2013-01-14,서울,겨울,13000.0
41,2013-01-14,부산,겨울,11000.0
42,2013-01-14,대구,겨울,12000.0
43,2013-01-14,광주,겨울,12000.0
44,2013-01-14,대전,겨울,13000.0
45,2013-01-15,서울,겨울,14000.0
46,2013-01-15,부산,겨울,11000.0
47,2013-01-15,대구,겨울,12000.0
48,2013-01-15,광주,겨울,12000.0
49,2013-01-15,대전,겨울,13000.0
50,2013-01-16,서울,겨울,13000.0
51,2013-01-16,부산,겨울,11000.0
52,2013-01-16,대구,겨울,12000.0
53,2013-01-16,광주,겨울,12000.0
54,2013-01-16,대전,겨울,13000.0
55,2013-01-17,서울,겨울,13000.0
56,2013-01-17,부산,겨울,11000.0
57,2013-01-17,대구,겨울,12000.0
58,2013-01-17,광주,겨울,12000.0
59,2013-01-17,대전,겨울,13000.0
60,2013-01-18,서울,겨울,13000.0
61,2013-01-18,부산,겨울,11000.0
62,2013-01-18,대구,겨울,11000.0
63,2013-01-18,광주,겨울,12000.0
64,2013-01-18,대전,겨울,13000.0
65,2013-01-21,서울,겨울,13000.0
66,2013-01-21,부산,겨울,11000.0
67,2013-01-21,대구,겨울,11000.0
68,2013-01-21,광주,겨울,12000.0
69,2013-01-21,대전,겨울,13000.0
70,2013-01-22,서울,겨울,13000.0
71,2013-01-22,부산,겨울,11000.0
72,2013-01-22,대구,겨울,11000.0
73,2013-01-22,광주,겨울,12000.0
74,2013-01-22,대전,겨울,13000.0
75,2013-01-23,서울,겨울,12000.0
76,2013-01-23,부산,겨울,11000.0
77,2013-01-23,대구,겨울,11000.0
78,2013-01-23,광주,겨울,12000.0
79,2013-01-23,대전,겨울,13000.0
80,2013-01-24,서울,겨울,12000.0
81,2013-01-24,부산,겨울,11000.0
82,2013-01-24,대구,겨울,11000.0
83,2013-01-24,광주,겨울,11000.0
84,2013-01-24,대전,겨울,13000.0
85,2013-01-25,서울,겨울,12000.0
86,2013-01-25,부산,겨울,11000.0
87,2013-01-25,대구,겨울,11000.0
