,날짜,지역,품명,가격
0,2013-07-30,서울,여름,10000.0
1,2013-07-30,부산,여름,8500.0
2,2013-07-30,대구,여름,9500.0
3,2013-07-30,광주,여름,10000.0
4,2013-07-30,대전,여름,10000.0
5,2013-07-31,서울,여름,10000.0
6,2013-07-31,부산,여름,8500.0
7,2013-07-31,대구,여름,9500.0
8,2013-07-31,광주,여름,10000.0
9,2013-07-31,대전,여름,10000.0
10,2013-08-01,서울,여름,11000.0
11,2013-08-01,부산,여름,9000.0
12,2013-08-01,대구,여름,9500.0
13,2013-08-01,광주,여름,10000.0
14,2013-08-01,대전,여름,10000.0
15,2013-08-02,서울,여름,11000.0
16,2013-08-02,부산,여름,9000.0
17,2013-08-02,대구,여름,9500.0
18,2013-08-02,광주,여름,10000.0
19,2013-08-02,대전,여름,10000.0
20,2013-08-05,서울,여름,13000.0
21,2013-08-05,부산,여름,10000.0
22,2013-08-05,대구,여름,10000.0
23,2013-08-05,광주,여름,11000.0
24,2013-08-05,대전,여름,12000.0
25,2013-08-06,서울,여름,12000.0
26,2013-08-06,부산,여름,10000.0
27,2013-08-06,대구,여름,10000.0
28,2013-08-06,광주,여름,11000.0
29,2013-08-06,대전,여름,12000.0
30,2013-08-07,서울,여름,12000.0
31,2013-08-07,부산,여름,10000.0
32,2013-08-07,대구,여름,11000.0
33,2013-08-07,광주,여름,11000.0
34,2013-08-07,대전,여름,12000.0
35,2013-08-08,서울,여름,13000.0
36,2013-08-08,부산,여름,11000.0
37,2013-08-08,대구,여름,11000.0
38,2013-08-08,광주,여름,11000.0
39,2013-08-08,대전,여름,13000.0
40,2013-08-09,서울,여름,15000.0
41,2013-08-09,부산,여름,11000.0
42,2013-08-09,대구,여름,11000.0
43,2013-08-09,광주,여름,11000.0
44,2013-08-09,대전,여름,13000.0
45,2013-08-12,서울,여름,14000.0
46,2013-08-12,부산,여름,11000.0
47,2013-08-12,대구,여름,11000.0
48,2013-08-12,광주,여름,11000.0
49,2013-08-12,대전,여름,12000.0
50,2013-08-13,서울,여름,12000.0
51,2013-08-13,부산,여름,11000.0
52,2013-08-13,대구,여름,12000.0
53,2013-08-13,광주,여름,11000.0
54,2013-08-13,대전,여름,14000.0
55,2013-08-14,서울,여름,13000.0
56,2013-08-14,부산,여름,11000.0
57,2013-08-14,대구,여름,12000.0
