구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년01월01일,1843.74,1754.82,1738.06,1745.54,1728.65,1752.40,1749.79,1755.94,1762.79,1751.19,1763.88,1745.21,1742.89,1743.22,1743.40,1755.72,1755.01
2013년01월02일,1843.12,1754.63,1737.17,1746.13,1727.92,1752.68,1749.10,1755.49,1762.30,1750.57,1763.05,1744.60,1742.85,1743.28,1743.36,1755.88,1755.01
2013년01월03일,1842.37,1754.92,1736.47,1746.27,1727.02,1752.20,1747.80,1755.32,1761.86,1750.93,1762.56,1744.18,1741.97,1742.71,1742.54,1755.46,1755.76
2013년01월04일,1841.72,1754.18,1736.93,1746.25,1726.85,1750.82,1746.92,1755.01,1761.39,1750.48,1762.05,1744.25,1741.97,1742.35,1742.23,1771.07,1754.58
2013년01월05일,1842.60,1752.72,1736.55,1747.59,1726.65,1750.03,1746.63,1754.59,1761.10,1750.22,1761.49,1743.30,1741.93,1742.30,1742.07,1771.08,1753.87
2013년01월06일,1842.13,1751.99,1736.41,1747.30,1726.32,1749.70,1745.42,1754.21,1760.49,1749.75,1760.97,1742.43,1741.42,1741.65,1741.53,1771.22,1752.66
2013년01월07일,1840.77,1752.24,1735.70,1745.79,1727.30,1749.87,1745.65,1754.20,1760.13,1749.00,1760.44,1742.34,1740.97,1741.52,1741.43,1771.22,1753.23
2013년01월08일,1841.35,1751.41,1735.43,1745.06,1725.95,1748.60,1744.89,1754.07,1759.70,1749.11,1759.71,1741.71,1740.44,1740.83,1741.35,1780.34,1751.09
2013년01월09일,1840.40,1750.98,1734.70,1745.08,1725.50,1748.34,1745.16,1753.47,1759.25,1748.21,1759.11,1741.16,1740.22,1739.36,1740.68,1780.40,1747.81
2013년01월10일,1839.71,1750.39,1734.91,1743.93,1724.88,1747.80,1743.99,1753.01,1758.62,1748.01,1758.34,1740.21,1739.67,1739.25,1739.97,1780.93,1746.94
2013년01월11일,1839.13,1750.06,1734.34,1744.15,1724.67,1747.35,1744.58,1752.70,1758.29,1747.38,1758.09,1739.50,1739.71,1738.92,1739.76,1780.78,1747.21
2013년01월12일,1839.93,1749.26,1734.48,1744.83,1724.77,1747.60,1743.00,1752.46,1758.06,1747.00,1757.49,1739.33,1739.38,1738.78,1739.41,1780.88,1745.30
2013년01월13일,1839.01,1748.99,1734.00,1744.58,1725.10,1747.14,1743.34,1752.05,1757.85,1746.98,1757.39,1738.60,1739.14,1738.43,1738.87,1780.41,1746.25
2013년01월14일,1839.80,1748.94,1734.29,1744.85,1725.01,1747.07,1742.85,1752.01,1757.80,1746.61,1757.12,1738.66,1739.11,1738.50,1739.16,1780.60,1746.25
2013년01월15일,1839.46,1748.75,1734.37,1743.64,1725.49,1746.96,1742.81,1751.74,1757.54,1746.37,1756.61,1738.32,1738.61,1738.08,1738.96,1780.73,1745.89
2013년01월16일,1839.23,1748.49,1734.41,1744.37,1724.95,1747.36,1743.15,1751.47,1756.93,1746.16,1756.18,1737.41,1738.28,1737.43,1738.37,1780.70,1746.21
