구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2015년11월16일,920.00,718.33,724.08,708.57,711.25,697.50,830.00,721.08,683.27,729.69,692.05,703.76,672.04,659.25,703.98,674.42,758.75
2015년11월17일,920.00,718.33,724.08,708.57,711.25,697.50,830.00,721.08,683.27,729.69,692.05,703.76,672.04,659.25,703.98,674.42,758.75
2015년11월18일,920.00,712.85,724.08,704.28,698.75,697.50,839.09,722.61,684.30,729.77,692.52,702.11,674.16,658.65,706.43,672.17,758.75
2015년11월19일,920.00,712.85,724.08,696.42,711.25,697.50,839.09,720.40,682.55,731.54,693.41,701.35,670.18,658.05,703.09,678.61,758.75
2015년11월20일,920.00,712.85,724.08,698.14,705.00,697.50,830.00,717.95,680.89,728.43,689.56,699.37,670.83,656.49,703.84,676.31,752.50
2015년11월21일,920.00,712.85,724.08,712.14,705.00,697.50,830.00,717.44,678.62,730.52,690.28,701.25,668.93,655.16,702.61,670.28,752.50
2015년11월22일,920.00,712.85,724.08,712.14,705.00,697.50,830.00,714.27,677.35,726.70,690.56,695.44,668.20,651.01,701.69,667.51,758.75
2015년11월23일,920.00,712.85,724.08,700.71,705.00,697.50,830.00,714.30,677.82,725.09,691.00,695.55,668.27,652.62,703.23,666.74,752.85
2015년11월24일,920.00,712.85,724.08,712.14,690.00,697.50,819.00,715.46,676.26,735.90,689.63,694.73,668.75,651.18,710.23,656.68,764.28
2015년11월25일,920.00,718.33,724.08,716.50,690.00,697.50,839.09,711.61,676.88,724.28,687.18,693.80,667.56,650.84,697.90,662.47,764.28
2015년11월26일,920.00,718.33,712.63,718.66,687.50,697.50,839.09,709.36,674.52,724.84,685.74,691.43,668.67,649.93,696.48,662.92,757.14
2015년11월27일,920.00,718.33,719.08,718.66,687.50,697.50,830.00,708.98,673.15,722.31,685.95,690.21,666.74,644.76,694.96,660.76,756.25
2015년11월28일,,712.85,719.08,718.66,685.00,697.50,830.00,708.65,670.51,719.98,681.37,690.28,662.44,641.24,690.54,659.17,762.50
2015년11월29일,,712.85,724.08,690.14,685.00,697.50,829.00,708.99,670.76,723.03,680.30,682.68,665.35,639.69,690.77,658.30,742.85
2015년11월30일,,712.85,724.08,690.14,685.00,697.50,838.09,708.31,668.81,718.50,680.09,681.36,662.51,637.84,690.54,659.55,742.85
2015년12월01일,,712.85,722.41,690.14,685.00,697.50,838.09,708.14,667.09,718.50,680.09,681.90,662.29,637.56,690.46,653.38,742.85
2015년12월02일,,681.66,722.41,680.71,685.00,690.00,827.18,707.13,667.81,720.32,674.54,676.74,659.89,638.24,687.65,654.82,742.85
2015년12월03일,,681.66,710.75,660.71,685.00,690.00,827.18,706.40,667.75,716.73,675.98,674.94,658.72,636.97,689.39,664.02,742.85
2015년12월04일,,681.66,710.75,660.71,682.50,685.00,818.09,702.71,666.94,717.00,678.60,675.79,653.52,635.97,691.15,666.56,738.57
2015년12월05일,920.00,718.33,710.75,660.71,678.75,685.00,818.09,702.93,665.35,716.11,673.03,672.51,655.13,636.00,689.05,664.05,738.57
2015년12월06일,920.00,718.33,710.75,660.71,682.50,685.00,825.36,705.89,665.18,718.67,670.04,671.29,653.32,635.92,687.34,664.05,738.57
2015년12월07일,920.00,718.33,710.75,660.71,682.50,685.00,825.36,704.16,665.43,718.11,670.21,671.31,653.56,635.85,685.92,663.92,738.57
2015년12월08일,920.00,713.33,710.75,660.71,680.00,685.00,829.90,709.26,673.32,718.11,670.05,671.15,653.66,635.60,686.83,659.30,738.57
2015년12월09일,920.00,713.33,710.75,682.16,670.00,685.00,825.36,705.19,664.18,719.87,671.04,671.67,650.37,632.95,686.67,660.67,745.71
2015년12월10일,920.00,713.33,710.75,677.16,680.00,685.00,820.81,705.95,662.22,714.46,669.05,668.87,652.26,630.75,685.67,670.29,752.50
2015년12월11일,920.00,713.33,708.25,668.57,667.50,685.00,820.81,705.69,660.27,714.96,673.53,663.78,651.63,630.12,680.79,669.31,758.75
2015년12월12일,920.00,713.33,706.58,669.28,680.00,685.00,819.90,701.29,659.87,712.14,671.61,663.59,648.28,628.53,680.04,665.90,752.50
2015년12월13일,920.00,713.33,706.58,668.57,672.50,685.00,818.09,701.16,658.62,709.51,669.33,663.80,651.50,628.29,678.16,653.82,752.50
2015년12월14일,920.00,713.33,706.58,658.00,672.50,685.00,818.09,699.50,658.32,701.72,669.40,663.39,647.47,627.03,679.59,653.05,752.50
2015년12월15일,920.00,713.33,704.91,652.42,662.50,685.00,813.54,699.07,657.45,708.15,666.15,661.65,647.77,624.50,678.62,651.35,751.42
2015년12월16일,920.00,713.33,718.09,652.42,668.75,677.50,818.09,696.16,654.84,707.63,666.33,663.39,647.14,622.39,676.87,645.20,751.42
2015년12월17일,870.00,713.33,713.54,658.14,671.25,677.50,818.09,693.76,654.60,706.50,662.84,660.39,645.48,622.01,675.53,644.92,750.00
2015년12월18일,870.00,713.33,713.54,646.57,671.25,677.50,818.09,694.28,653.87,707.68,661.64,659.36,645.52,621.94,668.76,642.92,750.00
2015년12월19일,870.00,708.57,713.54,648.00,668.75,677.50,812.63,692.09,653.72,705.57,657.22,659.26,643.07,619.83,667.55,640.92,745.71
2015년12월20일,870.00,701.42,709.00,648.85,668.75,677.50,812.63,690.19,651.86,701.01,655.29,657.92,643.03,619.76,667.16,626.09,745.71
2015년12월21일,870.00,701.42,709.00,646.71,665.00,677.50,811.72,689.86,651.49,712.59,655.45,657.14,644.62,619.36,667.06,622.68,745.71
2015년12월22일,850.00,701.42,709.00,646.71,668.75,677.50,814.91,685.81,651.37,705.75,653.11,655.73,642.52,613.72,664.63,608.46,745.71
2015년12월23일,850.00,692.85,707.18,644.14,672.50,677.50,810.75,686.09,647.04,702.04,650.86,654.98,641.77,613.75,662.28,594.95,725.00
2015년12월24일,850.00,692.85,679.90,638.14,660.00,677.50,810.75,684.14,642.26,703.03,645.31,651.75,639.91,610.55,659.36,594.10,725.00
2015년12월25일,850.00,692.85,679.90,618.85,657.50,677.50,800.33,676.37,641.30,699.25,643.00,647.56,639.25,607.82,654.45,600.87,725.00
2015년12월26일,850.00,695.00,664.45,618.85,663.75,657.50,800.33,675.59,640.37,698.08,642.80,647.22,643.00,607.96,651.38,598.75,725.00
2015년12월27일,850.00,695.00,658.09,618.85,663.75,657.50,799.50,673.70,636.96,696.18,643.13,646.29,637.49,606.38,651.02,591.70,728.57
2015년12월28일,850.00,695.00,658.09,618.85,663.75,657.50,799.50,675.71,636.37,695.67,642.05,646.70,637.34,606.76,650.60,592.87,728.57
2015년12월29일,850.00,695.00,660.81,618.85,663.75,657.50,799.50,673.58,636.59,695.91,639.91,646.68,635.33,607.49,651.12,595.15,728.57
2015년12월30일,850.00,681.66,657.18,631.50,663.75,657.50,799.50,670.08,633.71,699.01,639.02,642.98,634.97,606.68,653.81,592.25,728.57
2015년12월31일,850.00,681.66,660.81,630.83,663.75,652.50,799.50,666.67,630.92,700.22,637.17,643.44,634.32,605.30,649.43,591.78,728.57
2016년01월01일,850.00,681.66,660.81,630.83,663.75,652.50,798.66,667.71,631.36,702.03,634.30,639.44,633.68,601.80,650.46,591.92,728.57
2016년01월02일,850.00,681.66,660.81,630.83,663.75,652.50,798.66,667.71,631.36,702.03,634.53,639.03,633.68,601.80,650.47,591.92,728.57
2016년01월03일,850.00,681.66,660.81,630.83,663.75,652.50,798.66,667.95,630.78,702.06,634.53,639.03,633.68,601.80,650.47,591.92,725.00
2016년01월04일,850.00,681.66,660.81,630.83,663.75,596.66,785.81,664.82,630.78,702.06,634.53,639.03,633.37,599.08,650.47,592.51,725.00
2016년01월05일,850.00,681.66,660.81,630.83,663.75,596.66,785.81,658.27,630.78,702.06,634.74,637.95,633.24,596.09,650.09,592.57,690.00
2016년01월06일,850.00,681.66,660.81,601.00,663.75,596.66,785.81,656.48,631.65,699.38,633.04,634.51,633.03,593.98,643.10,592.86,690.00
2016년01월07일,850.00,681.66,660.81,610.00,663.75,596.66,785.81,650.73,631.06,692.24,632.25,633.15,631.87,589.92,643.14,592.86,690.00
2016년01월08일,,,642.00,540.00,584.50,621.00,815.00,613.01,591.76,656.54,605.10,603.60,618.76,557.10,612.34,561.83,685.00
2016년01월09일,835.00,654.00,587.37,559.33,612.25,674.33,754.33,625.47,594.75,648.25,615.08,612.01,610.28,555.60,615.00,563.09,692.16
2016년01월10일,835.00,645.00,594.33,566.80,608.50,674.33,768.90,634.15,598.28,644.35,616.89,612.27,611.39,564.61,616.54,559.39,688.83
2016년01월11일,835.00,645.00,594.33,566.80,612.25,674.33,768.90,631.37,600.50,643.13,617.26,624.75,609.38,568.33,620.26,560.60,688.83
