,연도,품명,지역,면적,생산량
0,2013,봄,예산시,120,383696
1,2013,봄,서산시,72,383696
2,2013,봄,나주시,45,383696
3,2014,봄,예산시,90,364326
4,2014,봄,서산시,75,364326
5,2014,봄,나주시,39,364326
6,2015,봄,예산시,60,287371
7,2015,봄,서산시,57,287371
8,2015,봄,나주시,23,287371
9,2016,봄,예산시,160,265919
10,2016,봄,서산시,23,265919
11,2016,봄,나주시,21,265919
12,2017,봄,예산시,280,519000
13,2017,봄,서산시,60,519000
14,2017,봄,나주시,49,519000
15,2018,봄,예산시,175,370000
16,2018,봄,서산시,92,370000
17,2018,봄,나주시,39,370000
18,2019,봄,문경시,318,270000
19,2019,봄,양양시,178,270000
20,2019,봄,아산시,115,270000
21,2020,봄,문경시,363,271700
22,2020,봄,양양시,180,271700
23,2020,봄,아산시,122,271700
24,2013,겨울,해남군,2842,348375
25,2013,겨울,진도군,528,348375
26,2013,겨울,무안군,296,348375
27,2014,겨울,해남군,2718,358017
28,2014,겨울,진도군,542,358017
29,2014,겨울,무안군,300,358017
30,2015,겨울,해남군,2918,294272
31,2015,겨울,진도군,542,294272
32,2015,겨울,무안군,300,294272
33,2016,겨울,해남군,2529,249841
34,2016,겨울,진도군,695,249841
35,2016,겨울,무안군,171,249841
36,2017,겨울,해남군,2306,258300
37,2017,겨울,진도군,782,258300
38,2017,겨울,무안군,167,258300
39,2018,겨울,해남군,3661,279900
40,2018,겨울,진도군,1029,279900
41,2018,겨울,무안군,135,279900
42,2019,겨울,해남군,2640,437500
43,2019,겨울,진도군,1071,437500
44,2019,겨울,무안군,126,437500
45,2020,겨울,해남군,2400,323100
46,2020,겨울,진도군,850,323100
47,2020,겨울,무안군,126,323100
48,2013,가을,고창군,372,1539000
49,2013,가을,해남군,1547,1593000
50,2013,가을,당진시,353,1539000
51,2014,가을,고창군,346,1698000
52,2014,가을,해남군,1648,1698000
53,2014,가을,당진시,311,1698000
54,2015,가을,고창군,340,1436000
55,2015,가을,해남군,1791,1436000
56,2015,가을,당진시,255,1436000
57,2016,가을,고창군,283,1128000
58,2016,가을,해남군,1851,1128000
59,2016,가을,당진시,249,1128000
60,2017,가을,고창군,323,1362000
61,2017,가을,해남군,1892,1362000
62,2017,가을,아산시,155,1362000
63,2018,가을,고창군,370,1404000
64,2018,가을,해남군,1993,1404000
65,2018,가을,아산시,155,1404000
66,2019,가을,고창군,280,1113300
67,2019,가을,해남군,1941,1113300
68,2019,가을,아산시,300,1113300
69,2020,가을,고창군,250,1339700
70,2020,가을,해남군,2488,1339700
71,2020,가을,아산시,180,1339700
72,2013,여름,평창군,1003,200895
73,2013,여름,정선군,1060,200895
74,2013,여름,태백시,1010,200895
75,2014,여름,평창군,1542,183287
76,2014,여름,정선군,1432,183287
77,2014,여름,태백시,1033,183287
78,2015,여름,평창군,1324,149607
79,2015,여름,정선군,1360,149607
80,2015,여름,태백시,1010,149607
81,2016,여름,평창군,1177,141239
82,2016,여름,정선군,1372,141239
83,2016,여름,태백시,927,141239
84,2017,여름,평창군,1580,165000
85,2017,여름,정선군,1223,165000
86,2017,여름,태백시,920,165000
87,2018,여름,평창군,1260,162000
88,2018,여름,정선군,842,162000
89,2018,여름,태백시,790,162000
90,2019,여름,평창군,1618,395453
91,2019,여름,정선군,545,395453
92,2019,여름,태백시,778,395453
93,2020,여름,평창군,1407,354656
94,2020,여름,정선군,565,354656
95,2020,여름,태백시,647,354656
