지점코드,종료시각,시작시각,(현)지점명,(현)주소,위도,경도,노장 해발고도(m),기압계,기온계,풍속계,강우계
 90,~, 1968.01.01 00:00:00, 속초, 강원도 고성군 토성면 봉포리, 38.25085, 128.56473, 17.53, 18.73, 1.7, 10.0, 1.4
 93,~, 2016.10.01 00:01:00, 북춘천,, 37.94738, 127.75443, 95.78, 96.78, 1.5, 10.0, 1.4
 95,~, 1988.01.01 00:00:00, 철원, 강원도 철원군 갈말읍 군탄리, 38.14787, 127.3042, 155.48, 156.98, 1.8, 13.0, 1.5
 98,~, 1998.02.01 00:00:00, 동두천, 경기도 동두천시 생연동, 37.90188, 127.0607, 115.62, 116.74, 1.7, 10.0, 1.0
 99,~, 2001.12.07 00:00:00, 파주, 경기도 파주시 문산읍 운천리, 37.88589, 126.76648, 30.59, 31.99, 1.7, 10.0, 1.0
 100,~, 1971.07.15 00:00:00, 대관령, 강원도 평창군 대관령면 횡계리, 37.67713, 128.71834, 772.43, 773.43, 1.7, 10.0, 1.4
 101,~, 1966.01.01 00:00:00, 춘천, 강원도 춘천시 우두동, 37.90262, 127.7357, 75.82, 77.05, 1.5, 10.0, 1.4
 102,~, 2000.11.01 00:00:00, 백령도, 인천광역시 옹진군 백령면 연화리, 37.97396, 124.71237, 36.0, 37.2, 1.8, 9.0, 1.2
 104,~, 2008.07.28 09:00:00, 북강릉, 강원도 강릉시 사천면 방동리, 37.80456, 128.85535, 75.24, 76.67, 1.7, 10.0, 1.4
 105,~, 1911.10.03 00:00:00, 강릉, 강원도 강릉시 용강동, 37.75147, 128.89099, 27.12, 28.22, 1.7, 10.0, 0.5
 106,~, 1992.05.01 00:00:00, 동해, 강원도 동해시 용정동, 37.50709, 129.12433, 40.46, 41.66, 1.7, 10.0, 1.4
 108,~, 1907.10.01 00:00:00, 서울, 서울특별시 종로구 송월동, 37.57142, 126.9658, 85.67, 86.67, 1.5, 10.0, 0.5
 112,~, 1904.08.29 00:00:00, 인천, 인천광역시 중구 전동, 37.47772, 126.6249, 68.99, 70.19, 1.6, 10.0, 1.2
 114,~, 1971.09.06 00:00:00, 원주, 강원도 원주시 명륜동, 37.33749, 127.94659, 150.11, 151.11, 1.7, 14.0, 1.4
 115,~, 1938.08.10 00:00:00, 울릉도, 경상북도 울릉군 울릉읍 도동리, 37.48129, 130.89864, 221.14, 223.7, 1.6, 10.0, 1.3
 119,~, 1964.01.01 00:00:00, 수원, 경기도 수원시 권선구 서둔동, 37.25746, 126.983, 39.81, 40.81, 1.6, 18.7, 1.1
 121,~, 1994.12.01 00:00:00, 영월, 강원도 영월군 영월읍 하송리, 37.18126, 128.45743, 240.54, 242.05, 1.7, 10.0, 1.4
 127,~, 1972.01.01 00:00:00, 충주, 충청북도 충주시 안림동, 36.97045, 127.9525, 114.85, 116.25, 1.65, 10.0, 1.0
 129,~, 1968.01.01 00:00:00, 서산, 충청남도 서산시 수석동, 36.77658, 126.4939, 25.25, 26.55, 1.6, 20.2, 1.1
 130,~, 1971.01.12 00:00:00, 울진, 경상북도 울진군 울진읍 연지리, 36.99176, 129.41278, 48.98, 50.18, 1.75, 10.0, 1.3
 131,~, 1967.01.01 00:00:00, 청주, 충청북도 청주시흥덕구 복대동, 36.63924, 127.44066, 58.7, 60.1, 1.7, 10.0, 0.8
 133,~, 1969.01.01 00:00:00, 대전, 대전광역시 유성구 구성동, 36.37198, 127.37211, 70.22, 71.12, 1.6, 19.8, 1.2
 135,~, 1937.01.11 00:00:00, 추풍령, 충청북도 영동군 추풍령면 관리, 36.22025, 127.99458, 244.98, 246.18, 1.6, 10.0, 1.1
 136,~, 1973.01.01 00:00:00, 안동, 경상북도 안동시 운안동, 36.57293, 128.70734, 141.26, 142.76, 1.8, 10.0, 1.3
 137,~, 2002.01.01 00:00:00, 상주, 경상북도 상주시 낙양동, 36.40837, 128.15741, 96.58, 97.98, 1.8, 10.0, 1.4
 138,~, 1943.01.01 00:00:00, 포항, 경상북도 포항시남구 송도동, 36.03201, 129.38002, 3.94, 4.92, 1.6, 10.0, 1.2
 140,~, 1968.01.01 00:00:00, 군산, 전라북도 군산시 내흥동, 36.0053, 126.76135, 27.85, 24.6, 1.7, 10.0, 1.0
 143,~, 1907.01.31 00:00:00, 대구, 대구광역시 동구 효목동, 35.87797, 128.65295, 54.27, 55.52, 1.8, 10.0, 0.6
 146,~, 1918.06.23 00:00:00, 전주, 전라북도 전주시덕진구 덕진동2가, 35.84092, 127.11718, 60.44, 62.9, 1.6, 10.0, 1.4
 152,~, 1932.01.06 00:00:00, 울산, 울산광역시 중구 북정동, 35.58237, 129.33469, 81.14, 83.2, 1.8, 10.0, 1.3
 155,~, 1985.07.01 00:00:00, 창원, 경상남도 창원시 마산합포구 가포동, 35.17019, 128.57281, 34.97, 39.1, 1.7, 10.0, 1.3
 156,~, 1939.05.01 00:00:00, 광주, 광주광역시 북구 운암동, 35.17294, 126.89156, 70.28, 73.9, 1.7, 17.5, 0.8
 159,~, 1904.04.09 00:00:00, 부산, 부산광역시 중구 대청동1가, 35.10468, 129.03203, 69.56, 70.9, 1.5, 18.0, 1.3
 162,~, 1968.01.01 00:00:00, 통영, 경상남도 통영시 정량동, 34.84541, 128.43561, 31.24, 33.2, 1.5, 18.0, 1.3
 165,~, 1904.04.08 00:00:00, 목포, 전라남도 목포시 연산동, 34.81732, 126.38151, 44.7, 39.2, 1.5, 14.5, 1.0
 168,~, 1942.03.01 00:00:00, 여수, 전라남도 여수시 중앙동, 34.73929, 127.74063, 65.93, 66.1, 1.5, 13.0, 0.6
 169,~, 1997.01.01 00:00:00, 흑산도, 전라남도 신안군 흑산면 예리, 34.68719, 125.45105, 75.12, 78.0, 1.5, 15.5, 0.6
