발표일자,지점명,지점코드,spi1,spi3,pn1,edi
2015-09-24,속초,90,-1.53,-0.96,22.40,-1.70
2015-09-24,대관령,100,0.21,-1.19,80.80,-1.73
2015-09-24,춘천,101,-1.85,-1.95,6.60,-2.38
2015-09-24,강릉,105,-0.32,-0.81,55.70,-1.41
2015-09-24,서울,108,-3.09,-2.33,13.30,-2.15
2015-09-24,인천,112,-1.59,-2.33,8.80,-2.22
2015-09-24,원주,114,-0.96,-1.84,29.80,-1.70
2015-09-24,수원,119,-1.68,-2.79,10.50,-2.25
2015-09-24,충주,127,-1.04,-1.76,27.50,-1.85
2015-09-24,서산,129,-1.37,-2.18,11.80,-1.68
2015-09-24,울진,130,-0.39,-0.79,62.20,-1.24
2015-09-24,청주,131,-1.10,-2.21,28.50,-2.24
2015-09-24,대전,133,-0.98,-2.14,28.10,-1.98
2015-09-24,추풍령,135,-0.47,-1.54,47.20,-1.74
2015-09-24,포항,138,0.04,-0.52,92.50,-0.82
2015-09-24,군산,140,-0.61,-1.82,39.00,-1.51
2015-09-24,대구,143,-0.10,-0.33,71.80,-0.70
2015-09-24,전주,146,-1.12,-1.89,26.50,-2.01
2015-09-24,울산,152,0.20,-0.45,103.50,-0.72
2015-09-24,광주,156,-0.83,-1.29,45.30,-1.13
2015-09-24,부산,159,0.20,-0.52,104.40,-0.35
2015-09-24,통영,162,-0.09,-0.37,81.10,-0.20
2015-09-24,목포,165,-0.53,-0.92,43.60,-0.86
2015-09-24,여수,168,-0.54,-0.81,47.00,-0.72
2015-09-24,완도,170,-0.40,-0.33,51.80,-0.27
2015-09-24,제주,184,-0.12,0.33,60.70,0.04
2015-09-24,성산,188,-0.01,0.33,72.80,0.41
2015-09-24,서귀포,189,0.39,0.50,105.20,0.90
2015-09-24,진주,192,-0.23,-0.81,70.70,-0.77
2015-09-24,강화,201,-1.03,-2.54,18.60,-2.64
2015-09-24,양평,202,-1.91,-2.10,19.40,-2.33
2015-09-24,이천,203,-1.78,-2.12,12.70,-2.01
2015-09-24,인제,211,-0.88,-1.49,28.20,-2.09
2015-09-24,홍천,212,-0.61,-2.09,33.70,-2.44
2015-09-24,제천,221,-1.06,-1.74,27.70,-1.89
2015-09-24,보은,226,-0.65,-2.18,44.00,-1.75
2015-09-24,천안,232,-0.90,-2.93,33.60,-1.88
2015-09-24,보령,235,-1.25,-1.96,12.50,-2.16
2015-09-24,부여,236,-1.32,-2.79,15.30,-1.97
2015-09-24,금산,238,-0.94,-1.72,32.60,-1.83
2015-09-24,부안,243,-0.91,-1.74,26.00,-1.39
2015-09-24,임실,244,-0.94,-1.83,29.90,-1.91
2015-09-24,정읍,245,-1.50,-1.58,13.70,-1.59
2015-09-24,남원,247,-0.78,-1.57,38.90,-1.50
2015-09-24,장흥,260,-0.67,-0.87,39.10,-0.94
2015-09-24,해남,261,-0.61,-0.53,37.30,-0.60
2015-09-24,고흥,262,-0.46,-0.55,43.90,-0.49
2015-09-24,영주,272,-0.87,-1.88,37.70,-1.74
2015-09-24,문경,273,-0.82,-2.07,40.00,-1.86
2015-09-24,영덕,277,0.02,-0.73,83.10,-1.23
2015-09-24,의성,278,-0.64,-1.80,41.70,-1.68
2015-09-24,구미,279,-0.26,-1.08,61.40,-1.20
2015-09-24,영천,281,-0.21,-0.62,71.60,-0.99
2015-09-24,거창,284,-0.63,-0.89,38.70,-1.02
2015-09-24,합천,285,-0.38,-0.82,55.50,-0.85
2015-09-24,밀양,288,-0.07,-0.69,82.80,-0.81
2015-09-24,산청,289,-0.34,-0.28,54.30,-0.61
2015-09-24,거제,294,-0.02,-0.34,87.50,-0.27
2015-09-24,남해,295,-0.40,-0.46,54.90,-
