발표일자,지점명,지점코드,spi1,spi3,edi
2015-12-03,속초,90,2.64,1.08,1.24
2015-12-03,대관령,100,1.65,-0.26,-1.54
2015-12-03,춘천,101,2.14,0.46,-1.97
2015-12-03,강릉,105,2.27,0.44,0.14
2015-12-03,서울,108,1.58,0.29,-2.27
2015-12-03,인천,112,1.67,0.36,-2.34
2015-12-03,원주,114,2.08,0.17,-1.45
2015-12-03,수원,119,1.99,0.23,-1.94
2015-12-03,충주,127,1.66,-0.09,-1.62
2015-12-03,서산,129,2.03,0.42,-1.14
2015-12-03,울진,130,2.06,0.10,0.15
2015-12-03,청주,131,1.57,0.18,-1.74
2015-12-03,대전,133,1.77,0.35,-1.31
2015-12-03,추풍령,135,1.94,0.37,-0.92
2015-12-03,포항,138,1.62,-0.03,-0.38
2015-12-03,군산,140,1.84,0.69,-0.56
2015-12-03,대구,143,1.29,-0.53,-0.45
2015-12-03,전주,146,1.44,0.19,-1.38
2015-12-03,울산,152,1.34,0.02,-0.51
2015-12-03,광주,156,1.74,0.45,-0.51
2015-12-03,부산,159,1.36,0.76,-0.25
2015-12-03,통영,162,1.13,0.55,-0.11
2015-12-03,목포,165,1.53,0.59,-0.24
2015-12-03,여수,168,0.91,-0.06,-0.67
2015-12-03,완도,170,0.93,0.39,-0.09
2015-12-03,제주,184,1.62,0.43,0.63
2015-12-03,성산,188,1.65,1.07,1.49
2015-12-03,서귀포,189,1.54,1.40,1.45
2015-12-03,진주,192,1.44,0.27,-0.41
2015-12-03,강화,201,1.66,0.54,-2.62
2015-12-03,양평,202,2.09,0.31,-2.23
2015-12-03,이천,203,2.14,0.36,-1.57
2015-12-03,인제,211,2.16,0.47,-1.80
2015-12-03,홍천,212,2.11,0.29,-2.40
2015-12-03,제천,221,1.84,0.13,-1.69
2015-12-03,보은,226,1.70,0.32,-1.17
2015-12-03,천안,232,1.90,0.14,-1.51
2015-12-03,보령,235,1.92,0.54,-1.37
2015-12-03,부여,236,1.61,0.45,-1.26
2015-12-03,금산,238,1.63,0.38,-1.06
2015-12-03,부안,243,1.54,0.32,-0.72
2015-12-03,임실,244,1.35,0.32,-1.21
2015-12-03,정읍,245,1.37,0.38,-0.81
2015-12-03,남원,247,1.50,0.37,-1.03
2015-12-03,장흥,260,0.95,0.14,-0.80
2015-12-03,해남,261,0.89,0.07,-0.44
2015-12-03,고흥,262,0.72,0.02,-0.41
2015-12-03,영주,272,1.60,0.07,-1.36
2015-12-03,문경,273,1.94,0.44,-1.29
2015-12-03,영덕,277,2.13,0.69,0.22
2015-12-03,의성,278,1.54,-0.45,-1.35
2015-12-03,구미,279,1.55,-0.07,-0.82
2015-12-03,영천,281,1.39,-0.27,-0.62
2015-12-03,거창,284,1.65,0.03,-0.59
2015-12-03,합천,285,1.41,-0.20,-0.54
2015-12-03,밀양,288,1.08,0.13,-0.69
2015-12-03,산청,289,1.39,-0.01,-0.33
2015-12-03,거제,294,1.50,0.75,-0.04
2015-12-03,남해,295,1.39,0.19,-0.25
